2026-03-14 20:47:57 | INFO     | controller           | Mode: portscan  |  Target: 127.0.0.1:80  |  Duration: 10s
2026-03-14 20:47:58 | INFO     | PortScan             | Starting FAST port scan on 127.0.0.1  |  ports: 3  |  speed: fast
2026-03-14 20:48:00 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-14 20:48:02 | DEBUG    | PortScan             | Port   443 — closed / filtered
2026-03-14 20:48:04 | DEBUG    | PortScan             | Port  8080 — closed / filtered
2026-03-14 20:48:04 | INFO     | PortScan             | Scan complete — 0 open port(s) found out of 3 probed
2026-03-14 20:48:04 | INFO     | PortScan             | ============================================================
2026-03-14 20:48:04 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-14 20:48:04 | INFO     | PortScan             | ============================================================
2026-03-14 20:48:04 | INFO     | PortScan             |   Target         : 127.0.0.1:80
2026-03-14 20:48:04 | INFO     | PortScan             |   Duration       : 6.06 s
2026-03-14 20:48:04 | INFO     | PortScan             |   Packets sent   : 3
2026-03-14 20:48:04 | INFO     | PortScan             |   Connections    : 3
2026-03-14 20:48:04 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-14 20:48:04 | INFO     | PortScan             |   Errors         : 0
2026-03-14 20:48:04 | INFO     | PortScan             | ============================================================
2026-03-14 20:48:04 | INFO     | controller           | Simulation finished.  Logs saved to logs/attack_simulation.log
2026-03-14 20:48:07 | INFO     | controller           | Mode: normal  |  Target: 127.0.0.1:80  |  Duration: 5s
2026-03-14 20:48:07 | INFO     | NormalTraffic        | Starting normal traffic generation  |  URLs: 5  |  duration: 5s
2026-03-14 20:48:16 | INFO     | NormalTraffic        | Normal traffic generation complete — 3 requests over 8.3s
2026-03-14 20:48:16 | INFO     | NormalTraffic        | ============================================================
2026-03-14 20:48:16 | INFO     | NormalTraffic        |   SIMULATION SUMMARY — NormalTraffic
2026-03-14 20:48:16 | INFO     | NormalTraffic        | ============================================================
2026-03-14 20:48:16 | INFO     | NormalTraffic        |   Target         : 127.0.0.1:80
2026-03-14 20:48:16 | INFO     | NormalTraffic        |   Duration       : 8.29 s
2026-03-14 20:48:16 | INFO     | NormalTraffic        |   Packets sent   : 3
2026-03-14 20:48:16 | INFO     | NormalTraffic        |   Connections    : 3
2026-03-14 20:48:16 | INFO     | NormalTraffic        |   Bytes sent     : 0
2026-03-14 20:48:16 | INFO     | NormalTraffic        |   Errors         : 0
